"_id","_labels","number","name","latitude","longitude","rcr","controle","titre-cle","issn","titre","source","ppn","ark","url","lieu","_start","_end","_type","etat_de_collection"
"58",":Bib","","SOPHIA/ANT.-Doc.Institut Eurecom","","","061522308","","","","","","","","","",,,,
"59",":Bib","","SOPHIA/ANT.-C.Sci.Tech.Batiment","","","061525201","","","","","","","","","",,,,
"60",":Bib","","SOPHIA/ANT.-Thales Und. Systems","","","061525404","","","","","","","","","",,,,
"61",":Bib","","DRAGUIGNAN-Archives Dép.","43.5413267","6.455521099999999","830505101","","","","","","","","","",,,,
"62",":Bib","","DRAGUIGNAN-Ecole Artillerie","43.5377269","6.464993","830505201","","","","","","","","","",,,,
"63",":Bib","","DRAGUIGNAN-Bibl. tiers-monde","43.5360914","6.459506699999999","830505301","","","","","","","","","",,,,
"64",":Bib","","DRAGUIGNAN-SESA","43.5366856","6.461841499999999","830505302","","","","","","","","","",,,,
"65",":Bib","","ST AYGULF-Station amélior.plan","","","830612301","","","","","","","","","",,,,
"66",":Bib","","FREJUS-Médiathèque Villa-Mar","","","830616201","","","","","","","","","",,,,
"67",":Bib","","HYERES-Médiathèque","","","830696201","","","","","","","","","",,,,
"68",":Bib","","TOULON-Serv.Historique Marine","43.124228","5.928","831375101","","","","","","","","","",,,,
"69",":Bib","","TOULON-MEDEF Var","43.1260535","5.9314786","831375302","","","","","","","","","",,,,
"70",":Bib","","TOULON-BM","43.0823215","5.920052699999999","831376201","","","","","","","","","",,,,
"71",":Bib","","VILLECROZE-Acad. musicale","43.5817048","6.2750889","831495401","","","","","","","","","",,,,
"72",":Bib","","MONACO-Jardin exotique","43.7310908","7.410747499999999","991385201","","","","","","","","","",,,,
"73",":Bib","","MONACO-Musée Anthropol.Préhi","43.73338","7.413762599999999","991385202","","","","","","","","","",,,,
"74",":Bib","","MONACO-ES d'Arts Plastiques","43.7320022","7.426917999999999","991385203","","","","","","","","","",,,,
"75",":Bib","","MONACO-Musée Océanographique","43.7310033","7.425491600000001","991385301","","","","","","","","","",,,,
"76",":Bib","","MONACO-CH Princesse Grâce","43.7300912","7.412849899999999","991385402","","","","","","","","","",,,,
"77",":Bib","","MONACO-Bibl.Louis Notari","43.7351319","7.420563100000001","991386201","","","","","","","","","",,,,
"83",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Transfer","0898-2333","Transfer","unicas","040002845","","","",,,,
"84",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","REPECO","0716-9000","REPECO","unicas","093354320","","","",,,,
"85",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Mumacote infos","1166-7141","Mumacote infos","unicas","040000257","","","",,,,
"86",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Nouvelles de la Fédération patronale monégasque","1010-8807","Nouvelles de la Fédération patronale monégasque","unicas","040133613","","","",,,,
"87",":Sudocrecord","","","","","","","Le Grand journal","2257-8552","Le Grand journal","unicas","159879477","","","",,,,
"88",":Sudocrecord","","","","","","","Voix de Provence","","Voix de Provence","unicas","039023087","","","",,,,
"89",":Sudocrecord","","","","","","","Il diritto militare italiano","","Il diritto militare italiano","unicas","229887848","","","",,,,
"90",":Sudocrecord","","","","","","","Le Progrès provençal","2135-4987","Le Progrès provençal","unicas","156154919","","","",,,,
"91",":Sudocrecord","","","","","","","Shinjyû nenkan","","Shinjyû nenkan","unicas","037396250","","","",,,,
"92",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Mitteilungen der Schweizerischen Kakteen-Gesellschaft","1023-3148","Mitteilungen der Schweizerischen Kakteen-Gesellschaft","unicas","037988131","","","",,,,
"93",":Sudocrecord","","","","","","","Cactaceae","","Cactaceae","unicas","038427249","","","",,,,
"94",":Sudocrecord","","","","","","","Le Messager des Alpes","1248-4482","Le Messager des Alpes","unicas","03877528X","","","",,,,
"95",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Bulletin d'information de la Société scientifique & littéraire de Cannes & de l'arrondissement de Grasse","1250-7148","Bulletin d'information de la Société scientifique & littéraire de Cannes & de l'arrondissement de Grasse","unicas","038792826","","","",,,,
"96",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","The Quarterly report of the Inter-American Tropical Tuna Commission","1048-6259","The Quarterly report of the Inter-American Tropical Tuna Commission","unicas","040269302","","","",,,,
"97",":Sudocrecord","","","","","","","Data book - Memory integrated circuit","","Data book - Memory integrated circuit","unicas","036883409","","","",,,,
"98",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Kaktus","0179-7476","Kaktus","unicas","036987980","","","",,,,
"99",":Sudocrecord","","","","","","","Bulletin d'information bi-Mensuel union patronale du var","","Bulletin d'information bi-Mensuel union patronale du var","unicas","037127594","","","",,,,
"100",":Sudocrecord","","","","","","","Defense systems review and military communications","0888-8361","Defense systems review and military communications","unicas","037819550","","","",,,,
"101",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Kanazawa Daigaku Rigakubu Fuzoku Shokubutsuen nempō","0914-7888","Kanazawa Daigaku Rigakubu Fuzoku Shokubutsuen nenpō","unicas","044734115","","","",,,,
"102",":Sudocrecord","","","","","","","American journal of Alzheimer's disease and other dementias","1533-3175","American journal of Alzheimer's disease and other dementias","unicas","058364846","","","",,,,
"103",":Sudocrecord","","","","","","","Le Petit Grassois","2134-1710","Le Petit Grassois","unicas","156143453","","","",,,,
"104",":Sudocrecord","","","","","","","Lou Sincaire","2108-0178","Lou Sincaire","unicas","146037138","","","",,,,
"105",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Rapporti tecnici - Istituto Sperimentale Talassografico C.N.R.","1121-1164","Rapporti tecnici","unicas","036254134","","","",,,,
"106",":Sudocrecord","","","","","","","Üntra nui","1010-4763","Üntra nui","unicas","03794651X","","","",,,,
"107",":Sudocrecord","","","","","","","The Fuaux Herbarium Bulletin","0818-3295","The Fuaux Herbarium Bulletin","unicas","038378213","","","",,,,
"108",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Fisheries newsletter","0115-2459","Fisheries newsletter","unicas","036798398","","","",,,,
"109",":Sudocrecord","","","","","","","Le Socialisme toulonnais","2018-3550","Le Socialiste toulonnais","unicas","039052206","","","",,,,
"110",":Sudocrecord","","","","","","","L'Armée coloniale","2020-5708","L'Armée coloniale","unicas","048884286","","","",,,,
"111",":Sudocrecord","","","","","","","La Voce di S. Antonio Zaccaria","1593-0955","La Voce di S. Antonio Zaccaria","unicas","055392210","","","",,,,
"112",":Sudocrecord","","","","","","","Cacti & other succulents","0843-8234","Cacti & other succulents","unicas","037774689","","","",,,,
"113",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Regular information service bulletin on ocean data buoys and other ocean data acquisition systems, ODAS","1014-7136","Regular information service bulletin on ocean data buoys and other ocean data acquisition systems, ODAS","unicas","037964461","","","",,,,
"114",":Sudocrecord","","","","","","","Annales universelles et méthodiques. Politique &c.","2022-9712","Annales universelles et méthodiques","unicas","039118576","","","",,,,
"115",":Sudocrecord","","","","","","","Publications du C.R.A. Mémoires","0243-3044","Publications du C.R.A","unicas","039376907","","","",,,,
"116",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Grasse accueille","1250-7407","Grasse accueille","unicas","040198596","","","",,,,
"117",":Sudocrecord","","","","","","","La Riviera économique, touristique et financière","2137-5704","La Riviera économique, touristique et financière","unicas","140666680","","","",,,,
"118",":Sudocrecord","","","","","","","Papers from the Dana oceanographical collections","","Papers from the Dana oceanographical collections","unicas","036373427","","","",,,,
"119",":Sudocrecord","","","","","","","Environment & change","0301-3715","Environment & change","unicas","037258230","","","",,,,
"120",":Sudocrecord","","","","","","","Excelsa. Taxonomic series","1022-5919","Excelsa. Taxonomic series","unicas","040192733","","","",,,,
"121",":Sudocrecord","","","","","","","Le Journal d'Alger","1112-1696","Le Journal d'Alger","unicas","050921894","","","",,,,
"122",":Sudocrecord","","","","","","","Moun beu Cimié","2021-152X","Moun beu Cimié","unicas","055669786","","","",,,,
"123",":Sudocrecord","","","","","","","Vox","1629-0089","Vox","unicas","059135093","","","",,,,
"124",":Sudocrecord","","","","","","","Current Alzheimer research","1567-2050","Current Alzheimer research","unicas","120632705","","","",,,,
"125",":Sudocrecord","","","","","","","Le Bon climat","2555-3836","Le Bon climat","unicas","201863790","","","",,,,
"126",":Sudocrecord","","","","","","","Fisheries research station. Contribution","","Fisheries research station. Contribution","unicas","036261661","","","",,,,
"127",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","FMS. Fédération monégasque de ski","1010-4356","FMS. Fédération monégasque de ski","unicas","040130770","","","",,,,
"128",":Sudocrecord","","","","","","","Monthly newsletter - Navy Department","","Monthly newsletter","unicas","050926764","","","",,,,
"129",":Sudocrecord","","","","","","","L'Étincelle de Nice et des Alpes-Maritimes","2127-5181","L'Étincelle de Nice et des Alpes-Maritimes","unicas","13662524X","","","",,,,
"130",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Journal of the Cactus and Succulent Society of America","0190-468X","Journal of the Cactus and Succulent Society of America","unicas","036994723","","","",,,,
"131",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Canadian aquaculture bulletin","0825-527X","Canadian aquaculture bulletin","unicas","037753738","","","",,,,
"132",":Sudocrecord","","","","","","","L'Information immobilière de Provence","2017-0157","L'Information immobilière de Provence","unicas","039034658","","","",,,,
"133",":Sudocrecord","","","","","","","Publications du C.R.A. Cahier","0243-5144","Publications du C.R.A","unicas","039378209","","","",,,,
"134",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","De Brugse cactuspost","0774-4676","De Brugse cactuspost","unicas","039731480","","","",,,,
"135",":Sudocrecord","","","","","","","Statistique du bagne de Toulon","2021-0221","Statistique du bagne de Toulon","unicas","055779093","","","",,,,
"136",":Sudocrecord","","","","","","","Bulletin - Commissariat à la lutte contre le chômage","1252-3585","Bulletin","unicas","038799456","","","",,,,
"137",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Journal of marine science","0364-1988","Journal of marine science","unicas","036306649","","","",,,,
"138",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Proceedings of the Challenger Society","0144-1469","Proceedings of the Challenger Society","unicas","03691813X","","","",,,,
"139",":Sudocrecord","","","","","","","L'Écho de la Côte d'Azur","2126-2624","L'Echo de la Côte d'Azur","unicas","136612571","","","",,,,
"140",":Sudocrecord","","","","","","","Poissons du Québec","","Poissons du Québec","unicas","036380814","","","",,,,
"141",":Sudocrecord","","","","","","","Rijksinstituut voor visserij onderzoek. Reprints","","Rijksinstituut voor visserij onderzoek. Reprints","unicas","03641025X","","","",,,,
"142",":Sudocrecord","","","","","","","University of Delaware. Marine laboratories. Contributions","","University of Delaware. Marine laboratories. Contributions","unicas","036470961","","","",,,,
"143",":Sudocrecord","","","","","","","University of Göteborg, Marine geological laboratory [Contributions]","","University of Göteborg, Marine geological laboratory [Contributions]","unicas","036471046","","","",,,,
"144",":Sudocrecord","","","","","","","Annuaire toulonnais","2015-9714","Annuaire toulonnais","unicas","039113264","","","",,,,
"145",":Sudocrecord","","","","","","","Guide officiel des voyageurs sur tous les chemins de fer de l'Europe et des principaux paquebots de la Méditerranée et de l'Océan","2020-9800","Guide officiel des voyageurs sur tous les chemins de fer de l'Europe et des principaux paquebots de la Méditerranée et de l'Océan","unicas","050926470","","","",,,,
"146",":Sudocrecord","","","","","","","Cosmobiologie, cosmophysiologie, cosmopathologie","2555-235X","Cosmobiologie","unicas","190961791","","","",,,,
"147",":Sudocrecord","","","","","","","Osservatorio geofisico sperimentale. Contributi","","Osservatorio geofisico sperimentale. Contributi","unicas","036371084","","","",,,,
"148",":Sudocrecord","","","","","","","Oregon state university. Department of oceanography. Annual report","","Oregon state university. Department of oceanography. Annual report","unicas","03636942X","","","",,,,
"149",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Symival actualités","1169-7636","Symival actualités","unicas","040033031","","","",,,,
"150",":Sudocrecord","","","","","","","Azur informations","1956-7316","Azur informations","unicas","114705321","","","",,,,
"151",":Sudocrecord","","","","","","","Le Progrès social des Alpes-Maritimes","2135-5282","Le Progrès social des Alpes-Maritimes","unicas","156155125","","","",,,,
"152",":Sudocrecord","","","","","","","Oceanographic ship operating schedules.","","Oceanographic ship operating schedules","unicas","03636522X","","","",,,,
"153",":Sudocrecord","","","","","","","Oceanography coordinating committee newsletter.","","Oceanography coordinating committee newsletter","unicas","036365300","","","",,,,
"154",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","GOFS news","1050-5954","GOFS news","unicas","038024675","","","",,,,
"155",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","WoceNotes","1050-5962","WoceNotes","unicas","038024683","","","",,,,
"156",":Sudocrecord","","","","","","","Les Grandes affiches du littoral","2017-0114","Les Grandes affiches du littoral","unicas","039034585","","","",,,,
"157",":Sudocrecord","","","","","","","Bulletin","2016-1921","Bulletin","unicas","039066614","","","",,,,
"158",":Sudocrecord","","","","","","","Almanach du philatéliste","2015-6642","Almanach du philatéliste","unicas","039095886","","","",,,,
"159",":Sudocrecord","","","","","","","Actualités de la quinzaine - Chambre de commerce et d'industrie de Toulon et du Var","","Actualités de la quinzaine","unicas","039095908","","","",,,,
"160",":Sudocrecord","","","","","","","Revue artistique","2017-6589","La Revue artistique, littéraire, commerciale et d'annonces","unicas","039113434","","","",,,,
"161",":Sudocrecord","","","","","","","Le Tam-tam","2018-5219","Le Tam-tam","unicas","039113396","","","",,,,
"162",":Sudocrecord","","","","","","","La Provence héroi͏̈que et mutualiste","2024-6463","La Provence héroïque et mutualiste","unicas","039113531","","","",,,,
"163",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Dragoco-Report","0174-3236","Dragoco-Report","unicas","039127877","","","",,,,
"164",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Bulletin d'information de l'Amicale des donneurs de sang","1010-6243","Bulletin d'information de l'Amicale des donneurs de sang","unicas","040132064","","","",,,,
"165",":Sudocrecord","","","","","","","Alchimist","0770-1403","Alchimist","unicas","068786603","","","",,,,
"166",":Sudocrecord","","","","","","","Channels","1933-6950","Channels","unicas","115206086","","","",,,,
"167",":Sudocrecord","","","","","","","La Lanterne illustrée","1963-8744","La Lanterne illustrée","unicas","12427854X","","","",,,,
"168",":Sudocrecord","","","","","","","L'Actualité","2120-2400","L'Actualité","unicas","135949297","","","",,,,
"169",":Sudocrecord","","","","","","","Hybrid circuit technology","0747-1599","Hybrid circuit technology","unicas","037656058","","","",,,,
"170",":Sudocrecord","","","","","","","Bulletin trimestriel du Cyclo-Touring-Club-varois","2016-5552","Bulletin trimestriel du Cyclo-Touring-Club-varois","unicas","039034968","","","",,,,
"171",":Sudocrecord","","","","","","CORRIGER LE(S) CODE(S) DE FONCTION = 000 EN 7XX, L7XX et/ou E7XX. SUPPRIMER LA PRESENTE NOTE 309 UNE FOIS LA (LES) CORRECTION(S) EFFECTUEE(S)","Liste des acquisitions - Service historique de la marine, Centre de documentation et de recherche de la IIIème région maritime, Bibliothèque","1243-3799","Liste des acquisitions","unicas","040090531","","","",,,,
"172",":Sudocrecord","","","","","","","La Lanterne grassoise","2131-1579","La Lanterne grassoise","unicas","137891482","","","",,,,
"173",":Sudocrecord","","","","","","","Le Masque","2131-9294","Le Masque","unicas","137899319","","","",,,,
